epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28751.7,1.36087,1.52216,1.50821,0.61309,0.5235,0.51229,0.32844,1.68588,1.74255,1.71578,0.000821206,0.000821206,0.000821206
43,29383.3,1.3357,1.46359,1.47169,0.59203,0.52455,0.5314,0.36076,1.69559,1.75626,1.72618,0.000800577,0.000800577,0.000800577
44,30015.1,1.34972,1.50474,1.48246,0.72501,0.50069,0.57343,0.35614,1.69018,1.77514,1.72949,0.000779948,0.000779948,0.000779948
45,30648.8,1.3371,1.50676,1.46603,0.64225,0.54655,0.58659,0.37075,1.68415,1.74004,1.71819,0.000759318,0.000759318,0.000759318
46,31283,1.24056,1.36304,1.41334,0.63829,0.51708,0.56044,0.35173,1.71567,1.74834,1.71738,0.000738689,0.000738689,0.000738689
47,31912.7,1.26734,1.38305,1.41888,0.62692,0.56762,0.58379,0.38392,1.62298,1.7425,1.65285,0.00071806,0.00071806,0.00071806
48,32551.4,1.26255,1.36015,1.40117,0.61956,0.55541,0.57217,0.38881,1.5914,1.60553,1.62356,0.000697431,0.000697431,0.000697431
49,33182.6,1.3208,1.47811,1.44647,0.56542,0.57427,0.57359,0.36106,1.68919,1.69577,1.71127,0.000676802,0.000676802,0.000676802
50,33816.7,1.27042,1.37467,1.41689,0.65672,0.53819,0.59257,0.39827,1.60004,1.60856,1.64109,0.000656173,0.000656173,0.000656173
51,34446,1.25514,1.36215,1.39606,0.66839,0.54224,0.59714,0.38536,1.63623,1.63912,1.67012,0.000635544,0.000635544,0.000635544
52,35081.6,1.21485,1.3118,1.38945,0.59568,0.56972,0.58195,0.39154,1.65505,1.6013,1.68217,0.000614915,0.000614915,0.000614915
53,35712.9,1.26102,1.31762,1.41313,0.62469,0.57572,0.6025,0.3873,1.60703,1.65344,1.63592,0.000594286,0.000594286,0.000594286
54,36349.5,1.21251,1.33704,1.38952,0.67548,0.57954,0.62677,0.39378,1.61821,1.6309,1.65839,0.000573656,0.000573656,0.000573656
55,36984.6,1.22995,1.28028,1.39603,0.65443,0.58911,0.6119,0.39854,1.60957,1.57121,1.6501,0.000553027,0.000553027,0.000553027
56,37616.7,1.17276,1.29401,1.36858,0.61621,0.5977,0.6113,0.40891,1.59992,1.54831,1.66079,0.000532398,0.000532398,0.000532398
57,38253.3,1.1501,1.24581,1.34623,0.70483,0.5581,0.61855,0.40527,1.56459,1.51683,1.59966,0.000511769,0.000511769,0.000511769
58,38880.6,1.14232,1.25112,1.34974,0.73008,0.60969,0.64793,0.4129,1.59415,1.47627,1.62912,0.00049114,0.00049114,0.00049114
59,39509.4,1.1546,1.25068,1.35579,0.67422,0.59397,0.64083,0.41358,1.58642,1.44305,1.64552,0.000470511,0.000470511,0.000470511
60,40136.3,1.20727,1.29567,1.39906,0.73013,0.55895,0.62572,0.40568,1.58711,1.50027,1.65051,0.000449882,0.000449882,0.000449882
61,40770.2,1.1436,1.20904,1.34788,0.67759,0.60103,0.62359,0.41406,1.59689,1.5077,1.63289,0.000429253,0.000429253,0.000429253
62,41399.4,1.10944,1.16608,1.33345,0.76718,0.56967,0.63305,0.41517,1.53619,1.45254,1.59932,0.000408623,0.000408623,0.000408623
63,42026,1.13565,1.15738,1.32607,0.78724,0.55928,0.64334,0.42319,1.5125,1.44815,1.60672,0.000387994,0.000387994,0.000387994
64,42655.2,1.11934,1.12711,1.31779,0.74078,0.57897,0.63732,0.4243,1.50921,1.46031,1.58319,0.000367365,0.000367365,0.000367365
65,43288.7,1.12887,1.1149,1.321,0.70855,0.59404,0.64218,0.41483,1.54455,1.51573,1.6143,0.000346736,0.000346736,0.000346736
66,43915.6,1.12162,1.13991,1.33324,0.70348,0.59034,0.62893,0.42169,1.48748,1.48449,1.56583,0.000326107,0.000326107,0.000326107
67,44549.2,1.10614,1.1274,1.29988,0.6758,0.62397,0.63763,0.42383,1.5184,1.49554,1.579,0.000305478,0.000305478,0.000305478
68,45188.4,1.08129,1.08684,1.30907,0.78624,0.56219,0.6364,0.41132,1.52067,1.50551,1.57063,0.000284849,0.000284849,0.000284849
69,45827,1.08391,1.10837,1.2949,0.77366,0.59608,0.6576,0.43145,1.49632,1.42469,1.59422,0.00026422,0.00026422,0.00026422
