epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,902.442,1.73643,2.93764,1.78699,0.05357,0.39379,0.06273,0.0187,2.8442,47.9674,3.30685,0.000552614,0.000552614,0.000552614
2,1842.33,2.3607,3.17562,2.24769,0.02791,0.08,0.01355,0.00336,3.41651,52.599,4.05704,0.00109457,0.00109457,0.00109457
3,2807.07,2.41167,3.24106,2.31594,0.58489,0.06341,0.04089,0.01022,3.08038,7.8007,3.07309,0.00162276,0.00162276,0.00162276
4,3781.57,2.3409,3.15868,2.2769,0.05579,0.13949,0.03253,0.00976,2.91444,9.59363,2.8346,0.00160511,0.00160511,0.00160511
